titulo,url,preco,tipo,bairro,cidade,estado,cep,quartos,banheiros,garagens,area_m2,descricao,imagens
Apartamento com vista Mar da praia de Formosa,https://pb.olx.com.br/paraiba/imoveis/apartamento-com-vista-mar-da-praia-de-formosa-1462497114,600000.0,Apartamento,,Cabedelo,PB,58100-255,3.0,,2.0,,"Código do anúncio: AP412 ESSE IMÓVEL TEVE TODA SUA DOCUMENTAÇÃO VERIFICADA, GARANTINDO O SELO ANTI-FRAUDE Viva a qualidade de vida * São 3 dormitórios, sendo 1 suíte  espaço generoso para sua família descansar, se renovar. * Ambientes planejados para morar bem: sala de estar, sala de jantar, cozinha ampla, área de serviço, varanda... tudo pensado para o conforto do dia a dia. * Vista para o mar: a contemplação diária do horizonte que acalma a mente e recarrega as energias. Localização & conveniência * Está em *Formosa, Cabedelo*, região que une a tranquilidade da praia com acesso às facilidades urbanas  padarias, farmácias, supermercados, transporte público, restaurantes, tudo perto. * Rua asfaltada, prédio relativamente novo (existe há uns 4 anos), bem posicionado: lateral, com posição solar Sul  ideal para aproveitar luz natural no momento certo do dia. Segurança, estrutura & imóvel pronto * Pronto para morar  sem surpresas, sem obras intermináveis. * Possui *escritura e averbação* em dia, aceitando financiamento  facilita muito para quem planeja o futuro. Oportunidade no preço * Valor de *R$ 600.000* para um imóvel desse porte, com vista para o mar, 2 vagas de garagem cobertas, qualidade de vida, estrutura completa  um ótimo custo-benefício. * Taxas condominiais razoáveis para a região, condomínio + reformas do prédio (R$ 730,00)  custo que cabe no bolso considerando o padrão. * IPTU anual em valor acessível. Nos acompanhe nas redes sociais: Instagram: @malta.corretor Instagram Jampalife:@jampalife.imob WhatassApp:  Portal Jampalife:https://jampalife.com.br/ - Jampalife a sua imobiliária em João Pessoa. Corretor (a): Alexandre Malta CRECI: 11659 Código: AP412 Entre no Radar de Oportunidades (WhatsApp):https://chat.whatsapp.com/JpOV4aVvljbCLIoJFdtepy Entre as imobiliárias em João Pessoa, escolha quem entende de valorização e alavancagem patrimonial. Fale comigo e entenda como você pode ampliar seu patrimônio de forma estratégica e inteligente:  *As informações e condições deste imóvel estão sujeitas a alteração sem aviso prévio. *O endereço do anúncio não corresponde ao endereço do imóvel.   Chave do anúncio: BPwybntilAgJzhYX",https://img.olx.com.br/images/51/515564596475779.jpg | https://img.olx.com.br/images/39/390593599416531.jpg | https://img.olx.com.br/images/40/407522236949114.jpg | https://img.olx.com.br/images/40/407539472605220.jpg | https://img.olx.com.br/images/38/385559957773422.jpg | https://img.olx.com.br/images/38/381527359102285.jpg | https://img.olx.com.br/images/39/396501472479644.jpg | https://img.olx.com.br/images/39/391575597872441.jpg | https://img.olx.com.br/images/40/400574954243492.jpg | https://img.olx.com.br/images/39/397596596769608.jpg | https://img.olx.com.br/images/40/401575353573889.jpg | https://img.olx.com.br/images/39/391583236983988.jpg | https://img.olx.com.br/images/38/389581831691335.jpg | https://img.olx.com.br/images/40/403547958621174.jpg | https://img.olx.com.br/images/39/397572954234945.jpg | https://img.olx.com.br/images/39/395515836199645.jpg | https://img.olx.com.br/images/40/407592712171620.jpg | https://img.olx.com.br/images/38/389522595244479.jpg
"Apartamento com 3 dormitórios à venda, 78 m² por R$ 750.000,00 - Jardim Oceania - João Pes",https://pb.olx.com.br/paraiba/imoveis/apartamento-com-3-dormitorios-a-venda-78-m-por-r-750-000-00-jardim-oceania-joao-pes-1424123848,750000.0,Apartamento,,João Pessoa,PB,58037-550,3.0,,2.0,78.0,"Código do anúncio: AP2264 O empreendimento fica localizado na melhor área do Jardim Oceania, apenas á 700 metros da praia, próximo à Colégio Meta II. Oferecendo o melhor conforto e tudo que você precisa, como: farmácias, lojas, supermercados, restaurantes, barzinhos e muito mais. O apartamento medindo 78 m2, de posição nascente, possui varanda, sala de estar e jantar, 03 quartos sendo 01 suíte, wc social, cozinha, área de serviço e 02 vagas de garagem. Infraestrutura: Piscina com Deck Espaço Gourmet Salão de Festas Lounge Externo Espaço Mulher Academia Brinquedoteca Playground *As informações e condições desse imóvel estão sujeitas a alteração sem aviso prévio* *O endereço do anúncio não corresponde ao endereço do imóvel* Nos acompanhe nas redes sociais: Instagram: @jampalife.imob Central de Atendimento:  Nosso WhatsApp:  Corretor (a): Breno Código: AP2264   Chave do anúncio: mQ4A1pgGDirdjC5j",https://img.olx.com.br/images/13/130504663121451.jpg | https://img.olx.com.br/images/11/111509426536648.jpg | https://img.olx.com.br/images/11/112510780143027.jpg | https://img.olx.com.br/images/14/143578661508209.jpg | https://img.olx.com.br/images/10/105578426906771.jpg | https://img.olx.com.br/images/98/986530301871484.jpg | https://img.olx.com.br/images/10/102564666187490.jpg | https://img.olx.com.br/images/10/100564061608526.jpg | https://img.olx.com.br/images/11/115502906026904.jpg | https://img.olx.com.br/images/10/106571782116105.jpg | https://img.olx.com.br/images/99/991553905664175.jpg | https://img.olx.com.br/images/10/102567546746311.jpg | https://img.olx.com.br/images/10/109580543944390.jpg | https://img.olx.com.br/images/13/130592549532381.jpg | https://img.olx.com.br/images/99/993569544555561.jpg | https://img.olx.com.br/images/13/139510302500396.jpg | https://img.olx.com.br/images/13/139575547132888.jpg | https://img.olx.com.br/images/12/123594302172980.jpg | https://img.olx.com.br/images/11/113513183641185.jpg | https://img.olx.com.br/images/13/137566189873713.jpg
Flat no Jardim Oceania,https://pb.olx.com.br/paraiba/imoveis/flat-no-jardim-oceania-1432569323,354000.0,Imóvel,,João Pessoa,PB,58037-051,,,,26.0,"Código do anúncio: FL348 Flat mobiliado no Jardim Oceania, localizado a apenas 200 metros do mar, em um dos melhores pontos de João Pessoa. Com 26m2 bem distribuídos, este flat é perfeito para morar, investir ou rentabilizar com locação por temporada. Totalmente equipado e mobiliado: TV 50'' Cama casal queen + 2 camas auxiliares Fogão de indução, micro-ondas, sanduicheira e liquidificador Frigobar Jogo de pratos e talheres Destaque para a banheira de hidromassagem para 2 pessoas, trazendo ainda mais conforto e exclusividade. Detalhes do imóvel: Posição sul (ventilado e agradável) Condomínio: R$ 860,00 Valor: R$ 380.000,00 *As informações e condições desse imóvel estão sujeitas a alteração sem aviso prévio* *O endereço do anúncio não corresponde ao endereço do imóvel* *Este imóvel teve toda sua documentação devidamente verificada e recebeu nosso selo ANTI FRAUDE* Nos acompanhe nas redes sociais: Instagram: @jampalife.imob Central de Atendimento e Nosso WhatsApp: (83) 999246437 Corretor (a): JP Código: FL348   Chave do anúncio: dfa5YX7QM83EiQwk",https://img.olx.com.br/images/59/593530195237352.jpg | https://img.olx.com.br/images/60/608526556171299.jpg | https://img.olx.com.br/images/59/590529190227821.jpg | https://img.olx.com.br/images/61/616595431163270.jpg | https://img.olx.com.br/images/59/591589317375610.jpg | https://img.olx.com.br/images/60/605503435954670.jpg | https://img.olx.com.br/images/62/626511439140230.jpg | https://img.olx.com.br/images/60/603575553955018.jpg | https://img.olx.com.br/images/59/597530915491048.jpg | https://img.olx.com.br/images/59/598568435900835.jpg | https://img.olx.com.br/images/59/590517918671291.jpg | https://img.olx.com.br/images/59/593576315927284.jpg | https://img.olx.com.br/images/59/596520431240352.jpg | https://img.olx.com.br/images/61/619536915148497.jpg
Empreendimento no Bessa com infraestrutura completa,https://pb.olx.com.br/paraiba/imoveis/empreendimento-no-bessa-com-infraestrutura-completa-1461650848,370000.0,Imóvel,,João Pessoa,PB,58035-000,,,,,"Código do anúncio: O-62402-96681 Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio. O imóvel conta também com: Restaurante Segurança   Chave do anúncio: Q8ARuMvbkYIhq3Ww",https://img.olx.com.br/images/25/255531714189177.jpg | https://img.olx.com.br/images/24/243516114176798.jpg | https://img.olx.com.br/images/27/279596835154239.jpg | https://img.olx.com.br/images/26/269563357457544.jpg | https://img.olx.com.br/images/25/254525596999763.jpg | https://img.olx.com.br/images/27/274550710637965.jpg | https://img.olx.com.br/images/26/264599590909521.jpg | https://img.olx.com.br/images/26/264582118259469.jpg | https://img.olx.com.br/images/25/255504119317578.jpg | https://img.olx.com.br/images/22/229585118486122.jpg | https://img.olx.com.br/images/24/245546352974247.jpg | https://img.olx.com.br/images/23/233560477551942.jpg | https://img.olx.com.br/images/21/212555833397084.jpg | https://img.olx.com.br/images/23/231533599315451.jpg | https://img.olx.com.br/images/22/224562598543221.jpg | https://img.olx.com.br/images/22/224524357284168.jpg | https://img.olx.com.br/images/23/231520591914843.jpg | https://img.olx.com.br/images/23/232538839901793.jpg
"Apartamento com 1 dormitório à venda, 54 m² por R$ 590.000,00 - Jardim Oceania - João Pess",https://pb.olx.com.br/paraiba/imoveis/apartamento-com-1-dormitorio-a-venda-54-m-por-r-590-000-00-jardim-oceania-joao-pess-1413952837,590000.0,Apartamento,,João Pessoa,PB,58037-562,1.0,,1.0,54.0,"Código do anúncio: AP2736 Quer morar em uma das regiões mais valorizadas e procuradas do Jardim Oceania, de frente para o Parque Parahyba 2 e à menos de 300 metros da beira mar? Pois esse apartamento é perfeito pra você. O apartamento vendido em modalidade de porteira fechada, tem 54m2, contando com varanda, sala de estar e jantar, 01 suíte, wc social, cozinha americana integrada à sala e 01 vaga de garagem. Infraestrutura: Rooftop com Piscina Espaço Gourmet Lounges  Snooker Bar Gazebos  Academia Elevador *As informações e condições desse imóvel estão sujeitas a alteração sem aviso prévio* *O endereço do anúncio não corresponde ao endereço do imóvel* Nos acompanhe nas redes sociais: Instagram: @jampalife.imob Central de Atendimento:  Nosso WhatsApp:  Corretor (a): Breno Código: AP2736   Chave do anúncio: pGlHT67KtuopTGtb",https://img.olx.com.br/images/58/585597661976810.jpg | https://img.olx.com.br/images/55/554552424863057.jpg | https://img.olx.com.br/images/59/594571185005495.jpg | https://img.olx.com.br/images/54/545564189837110.jpg | https://img.olx.com.br/images/58/584553545006612.jpg | https://img.olx.com.br/images/56/562589182331582.jpg | https://img.olx.com.br/images/57/575571549049490.jpg | https://img.olx.com.br/images/55/559539420778117.jpg | https://img.olx.com.br/images/59/592570900913853.jpg | https://img.olx.com.br/images/57/579560181704175.jpg | https://img.olx.com.br/images/58/588539060249582.jpg | https://img.olx.com.br/images/55/552529429081794.jpg | https://img.olx.com.br/images/54/547543667672838.jpg | https://img.olx.com.br/images/57/572528304182545.jpg | https://img.olx.com.br/images/55/551581900812303.jpg | https://img.olx.com.br/images/55/559515421180321.jpg
"Flat com 1 dormitório à venda, 17 m² por R$ 390.000,00 - Cabo Branco - João Pessoa/PB",https://pb.olx.com.br/paraiba/imoveis/flat-com-1-dormitorio-a-venda-17-m-por-r-390-000-00-cabo-branco-joao-pessoa-pb-1444321369,390000.0,Imóvel,,João Pessoa,PB,58045-320,1.0,1.0,1.0,17.0,"Código do anúncio: FL0158 O empreendimento fica localizado na melhor área do Cabo Branco, apenas á 130 metros da praia, próximo ao Restaurante Bamã. Oferecendo o melhor conforto e tudo que você precisa, como: farmácias, lojas, supermercados, restaurantes, barzinhos e muito mais. O flat medindo 17,90 m2, possui 01 quarto, 01 banheiro, cozinha e 01 vaga de garagem. Infraestrutura: Piscinas Adulto e Infantil Piscina Aquecida Piscina no Rooftop Sauna Academia Coworking Sala de reunião Salão de jogos Playground Brinquedoteca Lavanderia Restaurante Quadra de areia Suporte de cadeiras e guarda sol do resort na praia disponível para os hospedes Obs: 390 mil com financiamento Previsão de entrega: Dezembro de 2025 Nos acompanhe nas redes sociais: Instagram (nome do corretor): Instagram Jampalife:@jampalife.imob WhatsApp:(83) 999246437 Portal Jampalife:https://jampalife.com.br/ - Jampalife a sua imobiliária em João Pessoa. Corretor (a): JP Código: FL0158 Entre no Radar de Oportunidades (WhatsApp):https://chat.whatsapp.com/JpOV4aVvljbCLIoJFdtepy Entre as imobiliárias em João Pessoa, escolha quem entende de valorização e alavancagem patrimonial. Fale comigo e entenda como voce pode ampliar seu patrimonio de forma estrategica e inteligente:https://wa.me/ *As informações e condições desse imóvel estão sujeitas a alteração sem aviso prévio. *O endereço do anúncio não corresponde ao endereço do imóvel.   Chave do anúncio: VqqjdIS0ZXlCq7xi",https://img.olx.com.br/images/58/589576577189749.jpg | https://img.olx.com.br/images/47/477666498837851.jpg | https://img.olx.com.br/images/47/475607253634675.jpg | https://img.olx.com.br/images/47/479650132590357.jpg | https://img.olx.com.br/images/49/491664498021809.jpg | https://img.olx.com.br/images/48/482645611675056.jpg | https://img.olx.com.br/images/47/472690619538959.jpg | https://img.olx.com.br/images/59/599553454848269.jpg | https://img.olx.com.br/images/59/596570691515682.jpg | https://img.olx.com.br/images/59/594543574837392.jpg | https://img.olx.com.br/images/58/585502692012504.jpg | https://img.olx.com.br/images/59/592529332698827.jpg | https://img.olx.com.br/images/59/598590697705848.jpg | https://img.olx.com.br/images/58/585579815940085.jpg | https://img.olx.com.br/images/59/596572573952638.jpg | https://img.olx.com.br/images/59/598532453300048.jpg | https://img.olx.com.br/images/59/590565456630990.jpg | https://img.olx.com.br/images/59/597547336421570.jpg | https://img.olx.com.br/images/59/595521819649140.jpg | https://img.olx.com.br/images/58/582548698969288.jpg
Apartamento pé na areia com porteira fechada no Jardim Oceania,https://pb.olx.com.br/paraiba/imoveis/apartamento-pe-na-areia-com-porteira-fechada-no-jardim-oceania-1344604116,720000.0,Apartamento,,João Pessoa,PB,58037-030,2.0,,1.0,68.97,"Código do anúncio: AP1945 O empreendimento pé na areia fica localizado na melhor área do Jardim Oceania, próximo ao Praiano Bar.Oferecendo o melhor conforto e tudo que você precisa, como: farmácias, lojas, supermercados, restaurantes, barzinhos e muito mais.O apartamento com porteira fechada, medindo 68,97 m2, de posição sul, possui varanda, sala de estar e jantar, 02 quartos, wc social, cozinha, área de serviço e 01 vaga de garagem.Contendo 03 ar condicionados.Infraestrutura:PiscinaLavanderiaElevador*As informações e condições desse imóvel estão sujeitas a alteração sem aviso prévio**O endereço do anúncio não corresponde ao endereço do imóvel*Nos acompanhe nas redes sociais:Instagram: @jampalife.imobCentral de Atendimento: Nosso WhatsApp: Corretor (a): CarlaCódigo: AP1945  Chave do anúncio: wYOzT0MJIVR0u32V",https://img.olx.com.br/images/31/317653745213590.jpg | https://img.olx.com.br/images/31/319630625559493.jpg | https://img.olx.com.br/images/31/316613867294209.jpg | https://img.olx.com.br/images/33/334644145848953.jpg | https://img.olx.com.br/images/31/310671144874821.jpg | https://img.olx.com.br/images/31/314650020149757.jpg | https://img.olx.com.br/images/31/310670745528708.jpg | https://img.olx.com.br/images/31/319673266304326.jpg | https://img.olx.com.br/images/32/324688866036537.jpg | https://img.olx.com.br/images/32/320643500450513.jpg | https://img.olx.com.br/images/31/315669629315993.jpg | https://img.olx.com.br/images/31/317643384151908.jpg | https://img.olx.com.br/images/31/312632509069874.jpg | https://img.olx.com.br/images/31/315639389448390.jpg | https://img.olx.com.br/images/31/315651746657631.jpg | https://img.olx.com.br/images/31/319609503032011.jpg | https://img.olx.com.br/images/31/319651626383023.jpg | https://img.olx.com.br/images/31/315648383953111.jpg | https://img.olx.com.br/images/31/310646148119584.jpg | https://img.olx.com.br/images/31/319649742162349.jpg
Fábrica Renascer- Cabedelo - PB ,https://pb.olx.com.br/paraiba/comercio-e-industria/fabrica-renascer-cabedelo-pb-1448132304,180000.0,Imóvel,,João Pessoa,PB,58038-382,,,,,"Vendo Fábrica no Renascer - Cabedelo l, por traz da projecta, com três câmera frigoríficas capacidade das três 60 mil quilos.  e demais instalações. Ideal para quem trabalha com congelados, sorvetes, açaí, crustáceos etc.  obs.  Valor do Aluguel do Galpão R$ 5.000,00.  OBS. Aceito automóvel e imóvel na negociação. Desde que seja de menor valor de até R$ 100.000,00",https://img.olx.com.br/images/13/133519214106417.jpg | https://img.olx.com.br/images/15/150560815091754.jpg | https://img.olx.com.br/images/17/174573334979084.jpg | https://img.olx.com.br/images/18/183561577432819.jpg | https://img.olx.com.br/images/20/206552695199527.jpg | https://img.olx.com.br/images/21/214574457104601.jpg | https://img.olx.com.br/images/25/258593694966753.jpg | https://img.olx.com.br/images/26/266517452437965.jpg | https://img.olx.com.br/images/29/297516211908575.jpg | https://img.olx.com.br/images/31/311565577349003.jpg | https://img.olx.com.br/images/32/320589458014044.jpg | https://img.olx.com.br/images/34/345524691023911.jpg
"Aluguel em Manaíra - Apto 1 quarto, com projetados, ar-cond. e vista-mar",https://pb.olx.com.br/paraiba/imoveis/aluguel-em-manaira-apto-1-quarto-com-projetados-ar-cond-e-vista-mar-1485733914,3000.0,Imóvel,"João Pessoa, Manaíra14 de mar, 11:08",,,,1.0,,,130.0,,
Casa em jacumã para lugar,https://pb.olx.com.br/paraiba/temporada/casa-em-jacuma-para-lugar-1485732322,800.0,Casa,,,,,,,,,Mini chácara a 400 metros da praia de jacumã para luguel de diária e temporada.  Telefones: 98835-7965/ 98695-6272,https://img.olx.com.br/images/37/375678022862182.jpg | https://img.olx.com.br/images/39/395677140488547.jpg | https://img.olx.com.br/images/41/412654860871982.jpg | https://img.olx.com.br/images/43/435695384678038.jpg | https://img.olx.com.br/images/45/459610385858366.jpg | https://img.olx.com.br/images/46/466630503208334.jpg | https://img.olx.com.br/images/47/470600863355599.jpg | https://img.olx.com.br/images/49/496658026549752.jpg
Reserve Autiplano II Alugo,https://pb.olx.com.br/paraiba/imoveis/reserve-autiplano-ii-alugo-1485732275,2000.0,Imóvel,"João Pessoa, Altiplano Cabo Branco14 de mar, 11:00",,,,,,,,,
"Casa para idosos,",https://pb.olx.com.br/paraiba/comercio-e-industria/casa-para-idosos-1485732291,1600000.0,Casa,,Santa Rita,PB,58301-645,30.0,,,1000.0,"Código do anúncio: b11fc3 Vendo uma pousada com 30 suites, cada suite com 40 m 2 cozinha , lavanderia ,  Area total de 1000 m2 área construída em area de 9000 m2 Poco artesiano agua mineral com caixa para 40000 litros Area de lazer com diversas fruteiras. TUDO construido em 9800 m2",https://img.olx.com.br/images/37/375636869030683.jpg | https://img.olx.com.br/images/37/378607028943317.jpg | https://img.olx.com.br/images/38/382696263375844.jpg | https://img.olx.com.br/images/36/367697868550049.jpg | https://img.olx.com.br/images/36/360608142454952.jpg
Apartamento no  José Américo de Almeida com 2 quartos sendo 1 suíte.,https://pb.olx.com.br/paraiba/imoveis/apartamento-no-jose-americo-de-almeida-com-2-quartos-sendo-1-suite-1485732238,195000.0,Apartamento,,João Pessoa,PB,58074-186,2.0,,1.0,44.14,"apartamento no  José Américo de Almeida com 2 quartos sendo 1 suíte. sala de estar/jantar, cozinha/área de serviço, wc social, e 1 vaga de garagem. APTO: 202 POSSUI: 44,14M² POSIÇÃO: NASCENTE ÚLTIMA UNIDADE. VALOR: R$ 195.000,00 MIL VALOR DE AVALIAÇÃO :R$ 206.100,00 MIL. PENSOU EM COMPRAR, VENDER OU ALUGAR O SEU IMÓVEL? G4 IMÓVEIS CRECI/PB 949-J CONTATOS: (83) 99618-9936 Tim/Zap E-mail: g4imoveis04@gmail.com Instagram: G4 Imóveis (@g4_imoveis_) CORRETOR DE IMÓVEIS RESPONSÁVEL: Hélio Cordeiro - CRECI/PB 6138F (83) 98777-4288 Tim/Zap",https://img.olx.com.br/images/28/289627268831718.jpg | https://img.olx.com.br/images/33/335678746547111.jpg | https://img.olx.com.br/images/36/362673024689505.jpg | https://img.olx.com.br/images/42/425673267538537.jpg | https://img.olx.com.br/images/44/449640380006896.jpg | https://img.olx.com.br/images/48/487660267057944.jpg
Vendo apartamento usado no Parque do Sol/Valentina.,https://pb.olx.com.br/paraiba/imoveis/vendo-apartamento-usado-no-parque-do-sol-valentina-1485732205,165000.0,Apartamento,,João Pessoa,PB,58067-207,2.0,,,,"Oportunidade de uma excelente apartamento usado, sendo no primeiro andar com ótima posição e divisão interna. Descrição: 2 quartos, 1 suíte Sala ampla  Varanda  Cozinha ampla com área de serviço  Garagem  Os dois banheiros com Box  R$ 50,00 reais o condomínio atual  Acesso ao prédio via tag Sistema de alarme no prédio  Na principal do parque do Sol  Valor R$ 165.000,00 mil  Mais informações Josuel Batista  Corretor de imóveis  Creci 10223 83 9 8123-8339 WhatsApp",https://img.olx.com.br/images/21/215649384159083.jpg | https://img.olx.com.br/images/23/231647268748744.jpg | https://img.olx.com.br/images/24/241656629264404.jpg | https://img.olx.com.br/images/25/253618862617033.jpg | https://img.olx.com.br/images/27/275682860782938.jpg | https://img.olx.com.br/images/29/298620268229269.jpg | https://img.olx.com.br/images/30/303695147157240.jpg | https://img.olx.com.br/images/31/317603501867992.jpg | https://img.olx.com.br/images/33/334665141688061.jpg | https://img.olx.com.br/images/35/350642027274285.jpg | https://img.olx.com.br/images/36/360645509249907.jpg
Apartamento espetacular no Paraíso do Atlântico ,https://pb.olx.com.br/paraiba/imoveis/apartamento-espetacular-no-paraiso-do-atlantico-1479392729,2000000.0,Apartamento,,Cabedelo,PB,58101-650,4.0,,,16.0,"Localizado no paraíso do Atlântico, condomínio pé na areia da praia de ponta de Campina, uma das mais paradisíacas da região e que conta com mais de 16.000m² distribuídos nas mais diversas áreas de lazer, tais como: sala de cinema, salão de beleza, brinquedoteca, salão de festas, salão gourmet, espaço gourmet, sala de jogos infantil e adulta, academia, um parque aquático espetacular em frente ao mar e muito mais!!! O imóvel possui 127m² em 4 suítes e será vendido na modalidade porteira fechada, todos os móveis e eletrodomésticos de extrema qualidade e bom gosto. Quem conhece sabe que se trata de uma grande oportunidade. Agende já sua visita!",https://img.olx.com.br/images/51/511607853185772.jpg | https://img.olx.com.br/images/73/738677744551113.jpg | https://img.olx.com.br/images/75/758658264099161.jpg | https://img.olx.com.br/images/76/760669502210940.jpg | https://img.olx.com.br/images/78/780647386761660.jpg | https://img.olx.com.br/images/80/804682140697611.jpg | https://img.olx.com.br/images/81/810676740483242.jpg | https://img.olx.com.br/images/83/832675381319712.jpg | https://img.olx.com.br/images/85/852670501577163.jpg | https://img.olx.com.br/images/87/875660144430419.jpg | https://img.olx.com.br/images/89/892642260706050.jpg
REPASSO PONTO DE FARMÁCIA,https://pb.olx.com.br/paraiba/comercio-e-industria/repasso-ponto-de-farmacia-1484794203,230000.0,Imóvel,,João Pessoa,PB,58030-260,,,,,"BAIRRO DOS ESTADOS CNPJ ATIVO E SEM RESTRIÇÕES  FOTOS ATUALIZADAS Descritivo da Loja localizada no Bairro dos Estados - 05 computadores  - 01 impressora - 02 splits de 30.000 BTU inverter - 01 split de 18.000 BTU inverter - 02 portas de rolo automáticas - 01 geladeira - 01 gelagua - 03 mesas de escritório  - 02 cômodas - 02 armários para guardar coisas - 01 armário de Controlados - 01 Tablet  - 14 Câmeras Infravermelho da Intelbras, com DVR, Monitor e HD de gravação (acesso pelo celular também) - Toda estrutura de prateleiras e armários (conforme fotos)",https://img.olx.com.br/images/97/974689144202327.jpg | https://img.olx.com.br/images/98/986655621530872.jpg | https://img.olx.com.br/images/10/101647380455960.jpg | https://img.olx.com.br/images/13/138632629156062.jpg | https://img.olx.com.br/images/15/152669621232843.jpg | https://img.olx.com.br/images/16/163602388949806.jpg | https://img.olx.com.br/images/18/186647268672184.jpg | https://img.olx.com.br/images/21/215615267209483.jpg | https://img.olx.com.br/images/23/237657863245751.jpg | https://img.olx.com.br/images/28/286631265202944.jpg
O Espaço Ideal Para Seu Negócio!!,https://pb.olx.com.br/paraiba/comercio-e-industria/o-espaco-ideal-para-seu-negocio-1485730929,600.0,Imóvel,,Areia,PB,58397-000,,,,,"? Oportunidade para o seu negócio crescer! Conheça o Empresarial Fernando Mota Peixe, um espaço moderno e estratégico com 12 salas comerciais pensadas para profissionais e empresas que buscam visibilidade, conforto e um ambiente ideal para atender seus clientes. ? Estrutura planejada para diversos tipos de negócios ? Ambiente profissional e organizado ? Excelente oportunidade para instalar ou expandir sua empresa ? Agende sua visita e venha conhecer de perto! Garanta seu espaço e faça parte do Empresarial Fernando Mota Peixe. ? Entre em contato agora mesmo para mais informações.",https://img.olx.com.br/images/14/142668381819138.jpg | https://img.olx.com.br/images/16/169657623455152.jpg | https://img.olx.com.br/images/18/182662264121807.jpg | https://img.olx.com.br/images/19/190664146561449.jpg | https://img.olx.com.br/images/21/210643140842546.jpg
Mansão no Alphaville  - Aluguel  e Venda,https://pb.olx.com.br/paraiba/imoveis/mansao-no-alphaville-aluguel-e-venda-1441803079,18000.0,Imóvel,"Bayeux, Comercial Norte14 de mar, 10:51",,,,,,,4420.0,,
CONSULTÓRIO MÉDICO POR TURNOS PARA ALUGAR EM CLÍNICA NO LIV MALL,https://pb.olx.com.br/paraiba/comercio-e-industria/consultorio-medico-por-turnos-para-alugar-em-clinica-no-liv-mall-1485729005,800.0,Imóvel,,João Pessoa,PB,58037-005,,,,,"Tenho disponível para locação por turnos, consultórios modernos, bem estruturado e com excelente ambientação, para atendimentos médicos de diversas especialidades. O espaço é completo, confortável e foi planejado para oferecer uma experiência diferenciada tanto para o profissional quanto para os pacientes. Caso tenha interesse ou queira conhecer pessoalmente, fico à disposição para enviar fotos, valores e horários disponíveis. TELEFONE / WHATSAPP: 83 98110 1113",https://img.olx.com.br/images/42/427611142202985.jpg | https://img.olx.com.br/images/44/447664500678760.jpg | https://img.olx.com.br/images/46/465639867511300.jpg | https://img.olx.com.br/images/47/479637265225485.jpg | https://img.olx.com.br/images/49/499600744123008.jpg | https://img.olx.com.br/images/50/507660265485435.jpg | https://img.olx.com.br/images/52/523684506049840.jpg | https://img.olx.com.br/images/54/543603027284886.jpg | https://img.olx.com.br/images/56/563631381284892.jpg | https://img.olx.com.br/images/58/583634502451569.jpg | https://img.olx.com.br/images/59/594644741741709.jpg | https://img.olx.com.br/images/61/618672265261284.jpg | https://img.olx.com.br/images/64/645695507605053.jpg | https://img.olx.com.br/images/65/653653628797426.jpg | https://img.olx.com.br/images/67/670657742185413.jpg | https://img.olx.com.br/images/69/692643863431696.jpg | https://img.olx.com.br/images/70/705646749456227.jpg | https://img.olx.com.br/images/72/724600742238074.jpg
Casa para ALUGAR sem mobília,https://pb.olx.com.br/paraiba/imoveis/casa-para-alugar-sem-mobilia-1485726987,1200.0,Casa,"Campina Grande, Acácio Figueiredo14 de mar, 10:34",,,,,,,380.0,,
OPORTUNIDADE - APARTAMENTO TÉRREO C 03 QUARTOS SENDO 01 SUÍTE - 01 VAGA DE GARAGEM COBERTA,https://pb.olx.com.br/paraiba/imoveis/oportunidade-apartamento-terreo-c-03-quartos-sendo-01-suite-01-vaga-de-garagem-coberta-1485726948,280000.0,Apartamento,,João Pessoa,PB,58035-105,3.0,,1.0,,"Código do anúncio: RM 157 APTO COM 3 QUARTOS SENDO 1 SUITE - BESSA RUA JOAO CABRAL DE LUCENA, 1056 - RESIDENCIAL PORTO CORAL III APARTAMENTO TÉRREO  COM SALA AMPLA, COZINHA E LAVANDERIA (PROJETADA), 3 QUARTOS, SENDO 1 SUITE, BANHEIRO SOCIAL E VAGA DE GARAGEM COBERTA APTO COM EXCELENTE LOCALIZAÇÃO: PRÓXIMO A PRAIA, PRAÇA DO CAJU, PADARIA, FARMACIAS, BR230 ETC. Valor: 280.000,00 Condomínio $ 250,00 com água inclusa. ROBÉRIO MONTE  - CRECI 3875 83 993 14 85 77",https://img.olx.com.br/images/71/715636144082298.jpg | https://img.olx.com.br/images/98/984641386878168.jpg | https://img.olx.com.br/images/26/261673265528040.jpg | https://img.olx.com.br/images/79/790634144972270.jpg | https://img.olx.com.br/images/33/333616507959964.jpg | https://img.olx.com.br/images/89/895673506081838.jpg | https://img.olx.com.br/images/35/354698261169313.jpg | https://img.olx.com.br/images/79/792643144769100.jpg | https://img.olx.com.br/images/66/665676742243536.jpg | https://img.olx.com.br/images/66/660652625613315.jpg | https://img.olx.com.br/images/98/984633629575646.jpg | https://img.olx.com.br/images/37/374685621885923.jpg | https://img.olx.com.br/images/87/873690628039911.jpg | https://img.olx.com.br/images/89/895678621874649.jpg | https://img.olx.com.br/images/96/967682741356621.jpg
